epoch	loss	acc	val_loss	val_acc
0	0.657224	0.642857	0.501691	1.000000
1	0.354325	0.936508	0.052530	1.000000
2	0.055462	1.000000	0.002301	1.000000
3	0.011809	1.000000	0.000043	1.000000
4	0.006423	1.000000	0.000020	1.000000
5	0.000814	1.000000	0.000002	1.000000
6	0.000730	1.000000	0.000000	1.000000
7	0.000292	1.000000	0.000000	1.000000
8	0.000564	1.000000	0.000000	1.000000
9	0.000358	1.000000	0.000000	1.000000
10	0.000316	1.000000	0.000000	1.000000
11	0.000040	1.000000	0.000000	1.000000
12	0.002662	1.000000	0.000000	1.000000
13	0.000014	1.000000	0.000000	1.000000
14	0.000011	1.000000	0.000000	1.000000
15	0.000054	1.000000	0.000000	1.000000
16	0.000004	1.000000	0.000000	1.000000
17	0.000088	1.000000	0.000000	1.000000
18	0.000176	1.000000	0.000000	1.000000
19	0.000137	1.000000	0.000000	1.000000
20	0.000043	1.000000	0.000000	1.000000
21	0.000002	1.000000	0.000000	1.000000
22	0.000020	1.000000	0.000000	1.000000
23	0.000021	1.000000	0.000000	1.000000
24	0.000010	1.000000	0.000000	1.000000
25	0.000023	1.000000	0.000000	1.000000
26	0.000287	1.000000	0.000000	1.000000
27	0.000037	1.000000	0.000000	1.000000
28	0.000800	1.000000	0.000000	1.000000
29	0.000000	1.000000	0.000000	1.000000
